Frecuencia,Ganancia,Fase
1.59856604229631e-01,-3.41973789534885e+01,8.99992418571886e+01
1.59880211656829e-01,-3.41960961352775e+01,8.99992417415249e+01
1.59903822570343e-01,-3.41948133170099e+01,8.99992416258423e+01
1.59927436970688e-01,-3.41935304986857e+01,8.99992415101411e+01
1.59951054858378e-01,-3.41922476803050e+01,8.99992413944212e+01
1.59974676233930e-01,-3.41909648618677e+01,8.99992412786825e+01
1.59998301097857e-01,-3.41896820433738e+01,8.99992411629250e+01
1.60021929450674e-01,-3.41883992248233e+01,8.99992410471489e+01
1.60045561292898e-01,-3.41871164062161e+01,8.99992409313540e+01
1.60069196625044e-01,-3.41858335875523e+01,8.99992408155403e+01
1.60092835447626e-01,-3.41845507688318e+01,8.99992406997079e+01
1.60116477761161e-01,-3.41832679500547e+01,8.99992405838568e+01
1.60140123566164e-01,-3.41819851312208e+01,8.99992404679868e+01
1.60163772863150e-01,-3.41807023123302e+01,8.99992403520982e+01
1.60187425652635e-01,-3.41794194933829e+01,8.99992402361907e+01
1.60211081935135e-01,-3.41781366743788e+01,8.99992401202645e+01
1.60234741711166e-01,-3.41768538553179e+01,8.99992400043195e+01
1.60258404981243e-01,-3.41755710362003e+01,8.99992398883558e+01
1.60282071745884e-01,-3.41742882170259e+01,8.99992397723733e+01
1.60305742005603e-01,-3.41730053977946e+01,8.99992396563720e+01
1.60329415760916e-01,-3.41717225785065e+01,8.99992395403519e+01
1.60353093012342e-01,-3.41704397591615e+01,8.99992394243130e+01
1.60376773760394e-01,-3.41691569397597e+01,8.99992393082553e+01
1.60400458005590e-01,-3.41678741203010e+01,8.99992391921789e+01
1.60424145748447e-01,-3.41665913007854e+01,8.99992390760836e+01
1.60447836989481e-01,-3.41653084812128e+01,8.99992389599695e+01
1.60471531729207e-01,-3.41640256615833e+01,8.99992388438367e+01
1.60495229968144e-01,-3.41627428418969e+01,8.99992387276850e+01
1.60518931706808e-01,-3.41614600221535e+01,8.99992386115145e+01
1.60542636945716e-01,-3.41601772023531e+01,8.99992384953252e+01
1.60566345685384e-01,-3.41588943824957e+01,8.99992383791170e+01
1.60590057926329e-01,-3.41576115625813e+01,8.99992382628901e+01
1.60613773669070e-01,-3.41563287426098e+01,8.99992381466443e+01
1.60637492914122e-01,-3.41550459225813e+01,8.99992380303797e+01
1.60661215662003e-01,-3.41537631024957e+01,8.99992379140962e+01
1.60684941913230e-01,-3.41524802823530e+01,8.99992377977940e+01
1.60708671668321e-01,-3.41511974621532e+01,8.99992376814728e+01
1.60732404927794e-01,-3.41499146418963e+01,8.99992375651329e+01
1.60756141692165e-01,-3.41486318215823e+01,8.99992374487741e+01
1.60779881961952e-01,-3.41473490012110e+01,8.99992373323964e+01
1.60803625737673e-01,-3.41460661807826e+01,8.99992372159999e+01
1.60827373019845e-01,-3.41447833602970e+01,8.99992370995845e+01
1.60851123808988e-01,-3.41435005397543e+01,8.99992369831502e+01
1.60874878105617e-01,-3.41422177191543e+01,8.99992368666971e+01
1.60898635910252e-01,-3.41409348984970e+01,8.99992367502252e+01
1.60922397223411e-01,-3.41396520777825e+01,8.99992366337343e+01
1.60946162045611e-01,-3.41383692570107e+01,8.99992365172246e+01
1.60969930377370e-01,-3.41370864361816e+01,8.99992364006960e+01
1.60993702219208e-01,-3.41358036152952e+01,8.99992362841485e+01
1.61017477571643e-01,-3.41345207943515e+01,8.99992361675821e+01
1.61041256435192e-01,-3.41332379733505e+01,8.99992360509968e+01
1.61065038810374e-01,-3.41319551522921e+01,8.99992359343927e+01
1.61088824697709e-01,-3.41306723311763e+01,8.99992358177696e+01
1.61112614097714e-01,-3.41293895100031e+01,8.99992357011277e+01
1.61136407010909e-01,-3.41281066887725e+01,8.99992355844668e+01
1.61160203437812e-01,-3.41268238674844e+01,8.99992354677870e+01
1.61184003378942e-01,-3.41255410461389e+01,8.99992353510883e+01
1.61207806834818e-01,-3.41242582247360e+01,8.99992352343708e+01
1.61231613805959e-01,-3.41229754032756e+01,8.99992351176342e+01
1.61255424292885e-01,-3.41216925817577e+01,8.99992350008788e+01
1.61279238296114e-01,-3.41204097601823e+01,8.99992348841044e+01
1.61303055816165e-01,-3.41191269385493e+01,8.99992347673111e+01
1.61326876853559e-01,-3.41178441168588e+01,8.99992346504989e+01
1.61350701408815e-01,-3.41165612951107e+01,8.99992345336678e+01
1.61374529482452e-01,-3.41152784733051e+01,8.99992344168177e+01
1.61398361074989e-01,-3.41139956514418e+01,8.99992342999486e+01
1.61422196186947e-01,-3.41127128295210e+01,8.99992341830606e+01
1.61446034818844e-01,-3.41114300075425e+01,8.99992340661537e+01
1.61469876971202e-01,-3.41101471855063e+01,8.99992339492278e+01
1.61493722644540e-01,-3.41088643634125e+01,8.99992338322829e+01
1.61517571839377e-01,-3.41075815412610e+01,8.99992337153191e+01
1.61541424556234e-01,-3.41062987190518e+01,8.99992335983363e+01
1.61565280795631e-01,-3.41050158967849e+01,8.99992334813346e+01
1.61589140558088e-01,-3.41037330744603e+01,8.99992333643139e+01
1.61613003844126e-01,-3.41024502520779e+01,8.99992332472742e+01
1.61636870654264e-01,-3.41011674296377e+01,8.99992331302155e+01
1.61660740989024e-01,-3.40998846071398e+01,8.99992330131379e+01
1.61684614848926e-01,-3.40986017845840e+01,8.99992328960412e+01
1.61708492234489e-01,-3.40973189619705e+01,8.99992327789256e+01
1.61732373146236e-01,-3.40960361392991e+01,8.99992326617910e+01
1.61756257584687e-01,-3.40947533165698e+01,8.99992325446374e+01
1.61780145550362e-01,-3.40934704937826e+01,8.99992324274647e+01
1.61804037043783e-01,-3.40921876709376e+01,8.99992323102731e+01
1.61827932065470e-01,-3.40909048480347e+01,8.99992321930625e+01
1.61851830615944e-01,-3.40896220250739e+01,8.99992320758328e+01
1.61875732695727e-01,-3.40883392020551e+01,8.99992319585842e+01
1.61899638305340e-01,-3.40870563789783e+01,8.99992318413165e+01
1.61923547445305e-01,-3.40857735558436e+01,8.99992317240298e+01
1.61947460116141e-01,-3.40844907326509e+01,8.99992316067241e+01
1.61971376318372e-01,-3.40832079094002e+01,8.99992314893993e+01
1.61995296052517e-01,-3.40819250860914e+01,8.99992313720556e+01
1.62019219319100e-01,-3.40806422627247e+01,8.99992312546927e+01
1.62043146118642e-01,-3.40793594392998e+01,8.99992311373109e+01
1.62067076451664e-01,-3.40780766158169e+01,8.99992310199100e+01
1.62091010318688e-01,-3.40767937922759e+01,8.99992309024900e+01
1.62114947720236e-01,-3.40755109686768e+01,8.99992307850511e+01
1.62138888656830e-01,-3.40742281450195e+01,8.99992306675930e+01
1.62162833128993e-01,-3.40729453213041e+01,8.99992305501159e+01
1.62186781137246e-01,-3.40716624975306e+01,8.99992304326197e+01
1.62210732682111e-01,-3.40703796736988e+01,8.99992303151045e+01
1.62234687764111e-01,-3.40690968498089e+01,8.99992301975702e+01
1.62258646383768e-01,-3.40678140258607e+01,8.99992300800168e+01
1.62282608541605e-01,-3.40665312018543e+01,8.99992299624444e+01
1.62306574238143e-01,-3.40652483777897e+01,8.99992298448529e+01
1.62330543473907e-01,-3.40639655536668e+01,8.99992297272423e+01
1.62354516249417e-01,-3.40626827294857e+01,8.99992296096126e+01
1.62378492565198e-01,-3.40613999052462e+01,8.99992294919638e+01
1.62402472421772e-01,-3.40601170809484e+01,8.99992293742959e+01
1.62426455819661e-01,-3.40588342565923e+01,8.99992292566089e+01
1.62450442759390e-01,-3.40575514321778e+01,8.99992291389029e+01
1.62474433241480e-01,-3.40562686077049e+01,8.99992290211777e+01
1.62498427266455e-01,-3.40549857831737e+01,8.99992289034334e+01
1.62522424834838e-01,-3.40537029585841e+01,8.99992287856700e+01
1.62546425947153e-01,-3.40524201339360e+01,8.99992286678875e+01
1.62570430603922e-01,-3.40511373092295e+01,8.99992285500859e+01
1.62594438805670e-01,-3.40498544844646e+01,8.99992284322651e+01
1.62618450552920e-01,-3.40485716596411e+01,8.99992283144253e+01
1.62642465846195e-01,-3.40472888347593e+01,8.99992281965663e+01
1.62666484686019e-01,-3.40460060098188e+01,8.99992280786881e+01
1.62690507072916e-01,-3.40447231848199e+01,8.99992279607909e+01
1.62714533007409e-01,-3.40434403597624e+01,8.99992278428745e+01
1.62738562490023e-01,-3.40421575346464e+01,8.99992277249389e+01
1.62762595521281e-01,-3.40408747094717e+01,8.99992276069842e+01
1.62786632101708e-01,-3.40395918842385e+01,8.99992274890104e+01
1.62810672231828e-01,-3.40383090589467e+01,8.99992273710174e+01
1.62834715912165e-01,-3.40370262335963e+01,8.99992272530052e+01
1.62858763143243e-01,-3.40357434081872e+01,8.99992271349739e+01
1.62882813925586e-01,-3.40344605827194e+01,8.99992270169234e+01
1.62906868259720e-01,-3.40331777571930e+01,8.99992268988537e+01
1.62930926146168e-01,-3.40318949316078e+01,8.99992267807649e+01
1.62954987585455e-01,-3.40306121059640e+01,8.99992266626569e+01
1.62979052578106e-01,-3.40293292802614e+01,8.99992265445297e+01
1.63003121124646e-01,-3.40280464545001e+01,8.99992264263834e+01
1.63027193225599e-01,-3.40267636286800e+01,8.99992263082178e+01
1.63051268881490e-01,-3.40254808028011e+01,8.99992261900331e+01
1.63075348092845e-01,-3.40241979768634e+01,8.99992260718291e+01
1.63099430860188e-01,-3.40229151508669e+01,8.99992259536060e+01
1.63123517184045e-01,-3.40216323248116e+01,8.99992258353637e+01
1.63147607064940e-01,-3.40203494986974e+01,8.99992257171021e+01
1.63171700503400e-01,-3.40190666725243e+01,8.99992255988214e+01
1.63195797499948e-01,-3.40177838462924e+01,8.99992254805214e+01
1.63219898055112e-01,-3.40165010200015e+01,8.99992253622023e+01
1.63244002169416e-01,-3.40152181936518e+01,8.99992252438639e+01
1.63268109843387e-01,-3.40139353672431e+01,8.99992251255063e+01
1.63292221077549e-01,-3.40126525407754e+01,8.99992250071294e+01
