Tiempo,Tension
2.466881416679477e-03,1.020221e+00
2.501943916679477e-03,1.010901e+00
2.563303291679477e-03,9.919575e-01
2.624662666679478e-03,9.701892e-01
2.686022041679478e-03,9.455966e-01
2.747381416679478e-03,9.181796e-01
2.808740791679478e-03,8.879384e-01
2.870100166679478e-03,8.548728e-01
2.931459541679479e-03,8.189830e-01
2.962139229179479e-03,8.001981e-01
2.992818916679479e-03,7.808664e-01
3.023498604179479e-03,7.609877e-01
3.054178291679479e-03,7.405622e-01
3.084857979179479e-03,7.195899e-01
3.115537666679479e-03,6.980706e-01
3.146217354179479e-03,6.760045e-01
3.176897041679479e-03,6.534515e-01
3.207576729179480e-03,6.304923e-01
3.238256416679480e-03,6.071267e-01
3.268936104179480e-03,5.833549e-01
3.299615791679480e-03,5.591768e-01
3.330295479179480e-03,5.345923e-01
3.360975166679480e-03,5.096016e-01
3.413568916679480e-03,4.657976e-01
3.466162666679480e-03,4.214455e-01
3.518756416679481e-03,3.765454e-01
3.571350166679481e-03,3.310972e-01
3.623943916679481e-03,2.851009e-01
3.676537666679481e-03,2.385566e-01
3.729131416679481e-03,1.914642e-01
3.759811104179482e-03,1.640495e-01
3.790490791679482e-03,1.366831e-01
3.821170479179482e-03,1.093651e-01
3.851850166679481e-03,8.209538e-02
3.882529854179482e-03,5.487403e-02
3.913209541679482e-03,2.770102e-02
3.943889229179482e-03,5.763543e-04
3.974568916679482e-03,-2.635092e-02
4.035928291679482e-03,-7.970186e-02
4.127967354179482e-03,-1.581060e-01
4.220006416679483e-03,-2.339936e-01
4.312045479179483e-03,-3.067437e-01
4.404084541679483e-03,-3.757619e-01
4.443529854179483e-03,-4.041551e-01
4.482975166679484e-03,-4.316183e-01
4.522420479179484e-03,-4.581513e-01
4.561865791679484e-03,-4.837543e-01
4.601311104179484e-03,-5.084273e-01
4.640756416679485e-03,-5.321701e-01
4.680201729179484e-03,-5.549829e-01
4.702115791679485e-03,-5.671630e-01
4.724029854179484e-03,-5.789986e-01
4.745943916679485e-03,-5.904895e-01
4.767857979179484e-03,-6.016359e-01
4.789772041679485e-03,-6.124377e-01
4.811686104179484e-03,-6.228950e-01
4.833600166679485e-03,-6.330076e-01
4.859897041679485e-03,-6.446668e-01
4.886193916679485e-03,-6.557811e-01
4.912490791679485e-03,-6.663505e-01
4.938787666679485e-03,-6.763750e-01
4.965084541679486e-03,-6.858546e-01
4.991381416679486e-03,-6.947893e-01
5.017678291679485e-03,-7.031791e-01
5.052740791679486e-03,-7.134848e-01
5.087803291679485e-03,-7.227520e-01
5.122865791679486e-03,-7.309808e-01
5.157928291679486e-03,-7.381711e-01
5.192990791679486e-03,-7.443230e-01
5.228053291679486e-03,-7.494365e-01
5.263115791679486e-03,-7.535115e-01
5.324475166679487e-03,-7.580628e-01
5.447193916679487e-03,-7.574099e-01
5.486639229179487e-03,-7.544154e-01
5.526084541679487e-03,-7.501164e-01
5.565529854179487e-03,-7.445128e-01
5.604975166679488e-03,-7.376045e-01
5.644420479179488e-03,-7.293917e-01
5.683865791679488e-03,-7.198742e-01
5.723311104179488e-03,-7.090522e-01
5.780287666679488e-03,-6.910576e-01
5.837264229179489e-03,-6.707179e-01
5.894240791679489e-03,-6.480330e-01
5.951217354179489e-03,-6.230029e-01
6.008193916679489e-03,-5.956277e-01
6.065170479179489e-03,-5.659074e-01
6.122147041679489e-03,-5.338418e-01
6.144061104179490e-03,-5.210389e-01
6.165975166679489e-03,-5.079626e-01
6.187889229179490e-03,-4.946130e-01
6.209803291679489e-03,-4.809901e-01
6.231717354179490e-03,-4.670939e-01
6.253631416679489e-03,-4.529244e-01
6.275545479179490e-03,-4.384816e-01
6.301842354179490e-03,-4.208101e-01
6.328139229179490e-03,-4.028261e-01
6.354436104179490e-03,-3.845298e-01
6.380732979179490e-03,-3.659210e-01
6.407029854179491e-03,-3.469998e-01
