Tiempo,Tension
0.000000000000000e+00,3.349713e-05
1.828571376855897e-08,3.351254e-05
3.657142753711795e-08,3.352476e-05
5.485714130567693e-08,3.353378e-05
7.314285507423590e-08,3.353960e-05
9.142856884279487e-08,3.354222e-05
1.097142826113539e-07,3.354165e-05
1.279999963799128e-07,3.353788e-05
2.020142870378475e-07,3.352636e-05
2.627486667422886e-07,3.351362e-05
3.249366644813967e-07,3.349982e-05
3.970598018182881e-07,3.348130e-05
5.026454255707482e-07,3.345044e-05
6.439285956317792e-07,3.340749e-05
8.442090565387102e-07,3.335352e-05
1.109298075630404e-06,3.330885e-05
1.373789706431660e-06,3.331326e-05
1.713363220701856e-06,3.339966e-05
2.074285612477561e-06,3.357408e-05
2.517547814616866e-06,3.385720e-05
2.938440007667607e-06,3.414608e-05
3.322866582432164e-06,3.440306e-05
3.793057825154952e-06,3.471545e-05
4.327333086828424e-06,3.511514e-05
4.928392225819765e-06,3.566789e-05
5.505347778593392e-06,3.631624e-05
6.235231572831475e-06,3.725826e-05
7.108525782824484e-06,3.849233e-05
7.925079445099848e-06,3.977468e-05
8.913801238533960e-06,4.154564e-05
1.002072291469323e-05,4.380645e-05
1.144854877795190e-05,4.709699e-05
1.297192497438913e-05,5.114128e-05
1.554560977222645e-05,5.909877e-05
1.811349849993166e-05,6.847244e-05
2.199150465890688e-05,8.604483e-05
2.974751697685732e-05,1.313946e-04
4.089742900428422e-05,2.204987e-04
6.041131821021422e-05,4.450667e-04
9.394999029359915e-05,9.976618e-04
1.366868646214390e-04,1.958478e-03
1.781459975951845e-04,3.165796e-03
2.239776411371848e-04,4.804723e-03
2.724340904550727e-04,6.857762e-03
3.341300602998289e-04,9.917375e-03
4.218713867214053e-04,1.497694e-02
5.395021352755581e-04,2.283757e-02
7.017314139745026e-04,3.530789e-02
9.226962732568646e-04,5.460969e-02
1.229336898256865e-03,8.442635e-02
1.535977523256865e-03,1.169157e-01
1.842618148256865e-03,1.517170e-01
2.149258773256865e-03,1.884573e-01
2.455899398256865e-03,2.269105e-01
2.762540023256865e-03,2.669145e-01
3.069180648256865e-03,3.083344e-01
3.375821273256865e-03,3.510458e-01
3.682461898256865e-03,3.949281e-01
3.989102523256864e-03,4.398613e-01
4.295743148256865e-03,4.857245e-01
4.602383773256865e-03,5.323959e-01
4.909024398256865e-03,5.797523e-01
5.215665023256865e-03,6.276695e-01
5.522305648256865e-03,6.760224e-01
5.828946273256865e-03,7.246851e-01
6.135586898256865e-03,7.735313e-01
