Tiempo,Tension
0.000000000000000e+00,3.349713e-05
7.314285507423590e-08,3.349735e-05
1.462857101484718e-07,3.349748e-05
2.194285652227077e-07,3.349751e-05
2.925714202969436e-07,3.349744e-05
3.657142753711795e-07,3.349727e-05
4.388571304454154e-07,3.349701e-05
5.119999855196511e-07,3.349665e-05
9.427592093781787e-07,3.349577e-05
1.480848314895823e-06,3.349554e-05
1.743727431852620e-06,3.349608e-05
2.176449858182755e-06,3.349831e-05
2.418245961940151e-06,3.349995e-05
2.880997976633711e-06,3.350320e-05
3.286664624432361e-06,3.350597e-05
4.188109687220980e-06,3.351224e-05
4.852135194532331e-06,3.351816e-05
6.371080923249884e-06,3.353667e-05
8.593693041166509e-06,3.357183e-05
1.083375068858669e-05,3.361801e-05
1.287816123186456e-05,3.366967e-05
8.294282961570238e-05,4.382375e-05
1.530074979995402e-04,6.036799e-05
2.230721663833780e-04,8.330241e-05
2.931368347672158e-04,1.126270e-04
3.632015031510537e-04,1.483418e-04
4.332661715348915e-04,1.904467e-04
5.033308399187292e-04,2.389418e-04
7.024234607192296e-04,3.890210e-04
9.766003099389302e-04,6.308583e-04
1.288271944655439e-03,9.417700e-04
1.706168970426670e-03,1.404543e-03
2.237806169334943e-03,2.054392e-03
3.039338863299736e-03,3.144546e-03
4.264277961196159e-03,5.009233e-03
5.939648862462592e-03,7.850823e-03
8.352840547628948e-03,1.225300e-02
1.196877546636328e-02,1.878440e-02
1.592855448189622e-02,2.483170e-02
2.075002796050035e-02,2.942789e-02
2.615971456185372e-02,3.037226e-02
3.276285065447820e-02,2.674466e-02
3.978446800218333e-02,2.024193e-02
4.544770219950453e-02,1.547821e-02
5.158073215610289e-02,1.291257e-02
5.752195902407393e-02,1.356466e-02
6.570307258720390e-02,1.747894e-02
7.297539844447765e-02,2.111696e-02
8.144089962545956e-02,2.308129e-02
8.977112835376394e-02,2.205734e-02
9.907246320444707e-02,1.921744e-02
1.081508103545514e-01,1.735328e-02
