Tiempo,Tension
0.000000000000000e+00,3.349713e-05
3.067968656900177e-10,9.670468e-03
3.237376387378406e-10,9.929287e-03
2.787324648394533e-09,9.860233e-03
5.250911658051225e-09,9.756598e-03
7.714498667707917e-09,9.618384e-03
1.017808567736461e-08,9.445589e-03
1.264167268702130e-08,9.238215e-03
1.510525969667799e-08,8.996260e-03
1.756884670633468e-08,8.719726e-03
2.435819781992131e-08,7.902395e-03
3.306405653386205e-08,6.733909e-03
4.369732706103607e-08,5.262879e-03
5.649392502542213e-08,3.578417e-03
6.913006033753940e-08,2.124702e-03
8.281722966882826e-08,8.569209e-04
9.638403840856800e-08,-7.442345e-05
1.109973555787412e-07,-7.418225e-04
1.280041009845349e-07,-1.165376e-03
1.556659668074891e-07,-1.431115e-03
1.765154698087883e-07,-1.452753e-03
1.970344928109832e-07,-1.407157e-03
2.206508536370196e-07,-1.374827e-03
2.459317323680586e-07,-1.394558e-03
2.785428919762909e-07,-1.478562e-03
3.240857457996719e-07,-1.616942e-03
3.578252738527534e-07,-1.664875e-03
4.772028331544360e-07,-1.671039e-03
6.556813998444496e-07,-1.612883e-03
8.583793524391567e-07,-1.463227e-03
1.080952055168373e-06,-1.204339e-03
1.307065251879647e-06,-8.280285e-04
1.562331946939288e-06,-2.703450e-04
1.795875133454156e-06,4.284844e-04
1.925290896128309e-06,1.069841e-03
2.073074567847557e-06,2.099057e-03
2.182319549836876e-06,2.913885e-03
2.306974885030111e-06,3.806183e-03
2.443552264911111e-06,4.705256e-03
2.634417600903040e-06,5.794369e-03
2.795862709039426e-06,6.535237e-03
2.931640259301029e-06,6.990535e-03
3.070843160823846e-06,7.300424e-03
3.189285849535265e-06,7.449420e-03
3.308764487761339e-06,7.502706e-03
3.438278432261400e-06,7.482431e-03
3.561884255148150e-06,7.412765e-03
3.727074150406697e-06,7.291784e-03
3.904830006684236e-06,7.189625e-03
4.127931588591888e-06,7.177792e-03
4.369883811232186e-06,7.348662e-03
4.530609329069307e-06,7.595278e-03
4.652789628248947e-06,7.872744e-03
4.775870455236599e-06,8.219744e-03
4.899318147232264e-06,8.622420e-03
5.069450332914865e-06,9.235824e-03
5.282565603390486e-06,1.003807e-02
5.536528876075572e-06,1.096920e-02
5.784686161940356e-06,1.179586e-02
5.961417840531834e-06,1.230422e-02
6.094872381433624e-06,1.262920e-02
6.215735032100195e-06,1.287957e-02
6.349631244992601e-06,1.311720e-02
6.483281774903807e-06,1.332093e-02
6.660597352723676e-06,1.355817e-02
6.888937324766061e-06,1.385109e-02
7.197016337303132e-06,1.427537e-02
7.405809010925981e-06,1.460836e-02
7.552269542827075e-06,1.488027e-02
7.677530054404660e-06,1.514128e-02
7.805412647921811e-06,1.543165e-02
7.935103577113603e-06,1.574655e-02
8.068759166422558e-06,1.608890e-02
8.267893358913450e-06,1.661675e-02
8.506233312244136e-06,1.725265e-02
8.736716788948028e-06,1.785499e-02
8.892714749677288e-06,1.824535e-02
9.037782552224281e-06,1.858942e-02
9.178803882272202e-06,1.890672e-02
9.305195839705086e-06,1.917689e-02
9.434961882630840e-06,1.944157e-02
9.565211057026267e-06,1.969654e-02
9.739475706545867e-06,2.002682e-02
9.958090115374014e-06,2.043631e-02
1.028265174669581e-05,2.105131e-02
1.045785928892837e-05,2.139407e-02
1.059660570302905e-05,2.167630e-02
1.072959684747244e-05,2.195590e-02
1.085579304720793e-05,2.222902e-02
1.099616039833084e-05,2.254041e-02
1.112706674934802e-05,2.283685e-02
1.131335294984394e-05,2.326498e-02
1.153436967513553e-05,2.377451e-02
1.188731236441949e-05,2.458122e-02
1.208436245439902e-05,2.502321e-02
1.222495499131285e-05,2.533155e-02
1.235045853173026e-05,2.560169e-02
1.247834890371320e-05,2.587268e-02
1.260756980312085e-05,2.614282e-02
1.274608382565352e-05,2.642909e-02
1.294571721036504e-05,2.683860e-02
1.319403250169510e-05,2.734724e-02
1.338470118105282e-05,2.773967e-02
1.354558191020100e-05,2.807385e-02
1.369400375769423e-05,2.838540e-02
1.383066640267285e-05,2.867520e-02
1.395900884292994e-05,2.894994e-02
1.411237517329428e-05,2.928095e-02
1.425892643531736e-05,2.959939e-02
1.445429349389193e-05,3.002579e-02
1.469101773366001e-05,3.054272e-02
1.495502530285976e-05,3.111741e-02
1.512503248426041e-05,3.148525e-02
1.527248090373946e-05,3.180204e-02
1.541973126471397e-05,3.211624e-02
1.560661384036703e-05,3.251248e-02
1.577691064629663e-05,3.287154e-02
1.598176053479675e-05,3.330167e-02
1.619495984887027e-05,3.374868e-02
1.652406497104435e-05,3.443944e-02
1.672462785471119e-05,3.486175e-02
1.690058994960585e-05,3.523381e-02
1.709521387893227e-05,3.564692e-02
1.731265252152901e-05,3.610991e-02
1.753811210391619e-05,3.659094e-02
1.780372275730835e-05,3.715763e-02
1.817503915071254e-05,3.794831e-02
1.841699789976621e-05,3.846183e-02
1.863726008944551e-05,3.892749e-02
1.891570937051614e-05,3.951434e-02
1.917112995728453e-05,4.005151e-02
1.951389886907243e-05,4.077178e-02
1.984631852419022e-05,4.147065e-02
2.011171629046795e-05,4.202930e-02
2.039291677647168e-05,4.262194e-02
2.071947457093459e-05,4.331054e-02
2.107678763554876e-05,4.406353e-02
2.153351898627971e-05,4.502448e-02
2.187773496090195e-05,4.574714e-02
2.224201550977687e-05,4.651040e-02
2.264328494205777e-05,4.735014e-02
2.319812366043057e-05,4.851066e-02
2.359877960278363e-05,4.934854e-02
2.405075182866522e-05,5.029334e-02
2.454660866224705e-05,5.132879e-02
2.507254430041966e-05,5.242536e-02
2.559150195938823e-05,5.350557e-02
2.620262321385656e-05,5.477578e-02
2.699323801490515e-05,5.641710e-02
2.771249465963211e-05,5.790826e-02
2.849130702179249e-05,5.952008e-02
2.923666026841962e-05,6.105960e-02
3.022424602132174e-05,6.309526e-02
3.137560859461233e-05,6.546339e-02
3.258054603291180e-05,6.793507e-02
3.409502682926490e-05,7.103232e-02
3.558831093140233e-05,7.407619e-02
3.732990522425940e-05,7.761324e-02
3.922125326944202e-05,8.143747e-02
4.205860925366653e-05,8.714341e-02
4.541075274618097e-05,9.384180e-02
4.885723317244624e-05,1.006751e-01
5.337295910862563e-05,1.095437e-01
5.927826477523452e-05,1.209860e-01
6.999836505813885e-05,1.412820e-01
9.143856562394750e-05,1.803959e-01
1.221182531239475e-04,2.336184e-01
1.527979406239475e-04,2.836922e-01
1.834776281239475e-04,3.305833e-01
2.141573156239475e-04,3.745255e-01
2.448370031239475e-04,4.157350e-01
2.755166906239475e-04,4.544123e-01
3.061963781239475e-04,4.907430e-01
3.368760656239475e-04,5.248989e-01
