Tiempo,Tension
1.272468288203922e-05,2.638347e-02
1.291780426387705e-05,2.677993e-02
1.315513902714306e-05,2.726616e-02
1.338892210639214e-05,2.774714e-02
1.354495593892556e-05,2.807111e-02
1.368660500273402e-05,2.836837e-02
1.382283560911552e-05,2.865711e-02
1.395065122995636e-05,2.893057e-02
1.410480471936508e-05,2.926312e-02
1.425030193460639e-05,2.957914e-02
1.444249569490117e-05,2.999852e-02
1.467524128326666e-05,3.050672e-02
1.496409355471074e-05,3.113541e-02
1.514193679663518e-05,3.152011e-02
1.528852624402617e-05,3.183488e-02
1.543615205715756e-05,3.214970e-02
1.562210182517941e-05,3.254376e-02
1.579399870383600e-05,3.290606e-02
1.599978546163309e-05,3.333806e-02
1.621736482790784e-05,3.379428e-02
1.656222174726824e-05,3.451840e-02
1.677990501052383e-05,3.497711e-02
1.696369414099920e-05,3.536613e-02
1.716375795125189e-05,3.579121e-02
1.738032392645753e-05,3.625269e-02
1.761525980473893e-05,3.675407e-02
1.789718228006502e-05,3.735554e-02
1.815203262254777e-05,3.789820e-02
1.835576307873566e-05,3.833070e-02
1.857237034026259e-05,3.878896e-02
1.884820841557924e-05,3.937071e-02
1.910232915049986e-05,3.990538e-02
1.942515454796731e-05,4.058384e-02
1.984523267604988e-05,4.146698e-02
2.013563865139174e-05,4.207825e-02
2.041531902988744e-05,4.266770e-02
2.074647899974978e-05,4.336600e-02
2.110196057123995e-05,4.411512e-02
2.151848222147913e-05,4.499148e-02
2.184838962971062e-05,4.568416e-02
2.220963179491723e-05,4.644114e-02
2.260902862508049e-05,4.727702e-02
2.314618255806801e-05,4.840058e-02
2.351646295820100e-05,4.917498e-02
2.394215416545816e-05,5.006496e-02
2.443413611428317e-05,5.109250e-02
2.508917317934345e-05,5.245841e-02
2.564609216019256e-05,5.361765e-02
2.627926511709845e-05,5.493356e-02
2.704172319690936e-05,5.651627e-02
2.775526102011600e-05,5.799541e-02
2.852917456127917e-05,5.959696e-02
2.926381433612675e-05,6.111424e-02
3.024225580604932e-05,6.313092e-02
3.141806640851083e-05,6.554921e-02
3.258766214052026e-05,6.794824e-02
3.414432373977418e-05,7.113153e-02
3.560273174909319e-05,7.410418e-02
3.734666639058648e-05,7.764582e-02
3.923020170940650e-05,8.145428e-02
4.200405457795607e-05,8.703293e-02
4.530925223182077e-05,9.363858e-02
4.871380251212108e-05,1.003906e-01
5.316268147907765e-05,1.091313e-01
5.904642725243279e-05,1.205360e-01
6.992205564695316e-05,1.411299e-01
9.167331243599391e-05,1.807858e-01
1.234606864683964e-04,2.349876e-01
1.862258928803993e-04,3.308763e-01
2.842490307638707e-04,4.585167e-01
4.138178147041776e-04,5.938085e-01
5.887926825014504e-04,7.340855e-01
7.673758196889404e-04,8.422505e-01
9.533543450631381e-04,9.280705e-01
1.142746565953832e-03,9.973282e-01
1.355879764936432e-03,1.061581e+00
1.588803462837661e-03,1.121698e+00
1.863292737786831e-03,1.184297e+00
2.169933362786831e-03,1.247930e+00
2.476573987786831e-03,1.307046e+00
2.783214612786831e-03,1.362703e+00
3.089855237786831e-03,1.415460e+00
3.396495862786831e-03,1.465547e+00
3.703136487786831e-03,1.513049e+00
4.316417737786831e-03,1.600365e+00
5.236339612786831e-03,1.711964e+00
6.156261487786831e-03,1.800010e+00
7.076183362786832e-03,1.864362e+00
7.996105237786832e-03,1.905141e+00
8.916027112786832e-03,1.922735e+00
9.835948987786832e-03,1.917781e+00
1.044923023778683e-02,1.902372e+00
1.075587086278683e-02,1.891148e+00
1.106251148778683e-02,1.877635e+00
1.136915211278683e-02,1.861879e+00
1.167579273778683e-02,1.843925e+00
1.198243336278683e-02,1.823824e+00
1.228907398778683e-02,1.801629e+00
1.259571461278683e-02,1.777392e+00
1.290235523778683e-02,1.751171e+00
1.320899586278683e-02,1.723022e+00
1.382227711278683e-02,1.661183e+00
1.443555836278683e-02,1.592373e+00
1.504883961278683e-02,1.517109e+00
1.566212086278683e-02,1.435934e+00
1.596876148778683e-02,1.393302e+00
1.627540211278683e-02,1.349403e+00
1.658204273778683e-02,1.304307e+00
1.688868336278683e-02,1.258088e+00
1.719532398778683e-02,1.210818e+00
1.750196461278683e-02,1.162570e+00
1.780860523778683e-02,1.113419e+00
1.811524586278683e-02,1.063439e+00
1.842188648778683e-02,1.012703e+00
1.872852711278683e-02,9.612867e-01
1.903516773778683e-02,9.092634e-01
1.934180836278683e-02,8.567076e-01
1.964844898778683e-02,8.036933e-01
1.995508961278683e-02,7.502940e-01
2.026173023778683e-02,6.965829e-01
2.056837086278683e-02,6.426327e-01
2.118165211278683e-02,5.343029e-01
2.179493336278683e-02,4.258734e-01
2.240821461278683e-02,3.178993e-01
2.302149586278683e-02,2.109202e-01
2.363477711278683e-02,1.054575e-01
2.394141773778683e-02,5.345226e-02
2.424805836278683e-02,2.012252e-03
